file_name,file_size,folder,file_extension,num_files_in_folder
NLP_Assignment.ipynb,317070,E:\Check\2021-CS-704,.ipynb,
My Resume (3).pdf,79151,E:\Check,.pdf,
My Resume.pdf,82408,E:\Check,.pdf,
NLP_Project_Group_List_Section_B.pdf,230361,E:\Check,.pdf,
Paper_1.pdf,263424,E:\Check,.pdf,
Paper_2.pdf,106873,E:\Check,.pdf,
PDC_Final_Exam_Syllabus_Complete.pdf,9362226,E:\Check,.pdf,
Assignment Report.pdf,589577,E:\Check\2021-CS-704,.pdf,
done.txt,2038437,E:\Check,.txt,
Hello.txt,1522377,E:\Check,.txt,
PDC Assignment.txt,5170,E:\Check,.txt,
world.txt,2038437,E:\Check,.txt,
balance_dataset.xlsx,14708061,E:\Check\2021-CS-704,.xlsx,
cleaned_dataset.xlsx,48937398,E:\Check\2021-CS-704,.xlsx,
Urdu Tweets Dataset.xlsx,99086759,E:\Check\2021-CS-704,.xlsx,
,15728864,E:\Check,,10.0
,163638865,E:\Check\2021-CS-704,,5.0
,0,E:\Check\2021-CS-704\empty,,0.0
